Time,User,Tweet
2022-08-09 16:25:02,CNNEE,Así rescataron a dos niños atrapados en un vehículo sumergido en agua https://t.co/He6ERXrQ2y
2022-08-09 16:20:40,ecuavisa,"RT @EcuavisaInforma: Este el mayor brote de #ViruelaDelMono 🐒 reportado fuera de África desde que se tiene registro.

Esto es lo que necesi…"
2022-08-09 16:20:04,CNNEE,"El actor de ""The Flash"", Ezra M. Miller, está acusado de robar alcohol en mayo de una casa de Vermont mientras los… https://t.co/qkWsveLYAx"
2022-08-09 16:19:28,teleamazonasec,Independiente del Valle va como favorito ante Deportivo Táchira https://t.co/pfOfVdVmp1 https://t.co/kL5TcL2Cfy
2022-08-09 16:16:57,realmadrid,"🔴🎙️ 𝙀𝙉 𝘿𝙄𝙍𝙀𝘾𝙏𝙊 | ¡Rueda de prensa de @MrAncelotti, @Benzema y @LukaModric10 previa a la FINAL de la #SuperCup!  https://t.co/ZyA7Sk2P6M"
2022-08-09 16:13:14,teleamazonasec,Desde el próximo 15 de agosto se tiene previsto inicie el cambio de unidades del Corredor Central Norte… https://t.co/Ar73Mj0xin
2022-08-09 16:10:15,FCSHEspol,"¿Cómo dar tus primeros pasos como inversionista? 📈📉

En esta charla, Nicolás Preiss, analista de Riesgos Sammas, de… https://t.co/4hE7KSFoX2"
2022-08-09 16:10:05,CNNEE,"Con vehemencia, Nicolás Maduro reclamó que la Argentina libere el avión retenido desde junio. Mira lo que dijo el c… https://t.co/WGwiFoSwxq"
2022-08-09 16:05:06,ecuavisa,"🎉 Evaluna cumplió 25 años y en celebración, sus seres queridos compartieron imágenes.

Pero, algo llamó la atención… https://t.co/eClg6RSvQX"
2022-08-09 16:03:57,teleamazonasec,Algunos hechos de sangre que enlutaron a Guayaquil en las últimas horas https://t.co/ne0IkSJCzL https://t.co/6v2Oj0Z0DC
2022-08-09 16:00:31,CNNEE,"Dos de las nuevas funciones que anunció WhatsApp comenzarán a implementarse para todos los usuarios este mes
https://t.co/0xibZ5MkN8"
2022-08-09 16:00:03,realmadrid,"🔥 ¡Los GOLAZOS que nos convirtieron en campeones de la Supercopa de Europa en 2016! 
👉 @RealMadrid 3-2 @SevillaFC… https://t.co/XjhjekmV7k"
2022-08-09 15:48:27,CNNEE,RT @deportescnn: El anuncio de @serenawilliams que ha sacudido este martes al mundo del deporte. La leyenda del tenis insinuó que su retiro…
2022-08-09 15:48:16,CNNEE,"RT @deportescnn: Este es el momento en el que @serenawilliams insinuaba su retiro y todo parecía una broma.
https://t.co/q7A57bqU7l"
2022-08-09 15:47:58,ecuavisa,"RT @EcuavisaInforma: 🧐 Especialistas han notado un creciente interés en las relaciones abiertas en la última década.

Muchos factores socia…"
2022-08-09 15:45:07,CNNEE,"Ante el aumento de precios que sufre la economía estadounidense, la demanda de los cortes de carnes de res de mayor… https://t.co/IZexhuuGkN"
2022-08-09 15:38:14,espol,"RT @cidier_ec: DEAR COMMUNITY!
We invite you to be part of CIDIER 2022, so access the link: https://t.co/lmQ832pWf3

Attend at no cost but…"
2022-08-09 15:33:40,ecuavisa,"RT @EcuavisaInforma: 👕 Miyake es conocido por el uso del plisado en sus prendas, por sus sencillos jerséis de cuello vuelto como los que po…"
2022-08-09 15:30:09,CNNEE,"El incendio de gran magnitud que se desató en el Mercado 4 de Asunción, Paraguay, logró controlarse tras varias hor… https://t.co/eCOHivOnOF"
2022-08-09 15:30:00,PlayStation,"🎯 Get a glimpse of new Legendary and Epic skins for Wraith, Caustic and more with the Apex Legends Hunted Battle Pa… https://t.co/r2vdBxsyKY"
